date,startmin,endmin,c0,c1,c17,c18,ch17_18_abs,ch17_0_abs,ch17_0,ch1_0
20160314,0000,1759,4940.0,4963.5,4948.0,4954.5,n,n,n,n
20160315,0000,1759,4945.0,4929.0,4945.0,4943.0,6.5,3.0,n,n
20160316,0000,1759,4952.0,4941.5,4950.0,4986.0,2.0,7.0,n,n
20160317,0000,1759,5005.5,5010.0,5065.0,5068.0,36.0,55.5,55.5,4.5
20160318,0000,1759,5064.0,5118.0,5053.0,5048.0,3.0,1.0,n,n
20160321,0000,1759,5026.5,5065.0,5066.0,5048.0,5.0,26.5,-26.5,38.5
20160322,0000,1759,5060.5,5040.0,5063.5,5063.5,18.0,5.5,n,n
20160323,0000,1759,5060.0,5060.0,4972.0,4962.0,0.0,3.5,n,n
20160324,0000,1759,4961.0,4943.0,4955.0,4958.5,10.0,11.0,-11.0,-18.0
20160329,0000,1759,4970.0,4980.0,4915.0,4917.0,3.5,15.0,15.0,10.0
20160330,0000,1759,4924.0,4925.0,4871.5,4873.0,2.0,9.0,n,n
20160331,0000,1759,4862.5,4848.0,4850.0,4856.5,1.5,9.0,n,n
20160401,0000,1759,4850.0,4862.5,4814.5,4812.0,6.5,0.0,n,n
20160404,0000,1759,4810.0,4810.0,4766.0,4768.5,2.5,4.5,n,n
20160405,0004,1759,4764.0,4782.5,4763.5,4768.5,2.5,2.0,n,n
20160406,0000,1758,4772.0,4783.5,4779.0,4775.0,5.0,8.5,n,n
20160407,0000,1759,4782.5,4795.0,4652.0,4635.0,4.0,3.5,n,n
20160408,0000,1759,4643.5,4654.5,4663.5,4665.0,17.0,8.5,n,n
20160411,0002,1759,4670.5,4662.0,4666.0,4668.5,1.5,7.0,n,n
20160412,0001,1759,4654.5,4655.5,4775.5,4780.0,2.5,11.5,-11.5,1.0
20160413,0000,1759,4784.5,4780.0,4830.5,4837.0,4.5,9.0,n,n
20160414,0000,1759,4832.0,4826.0,4841.0,4840.0,6.5,1.5,n,n
20160415,0019,1759,4830.0,4833.0,4805.0,4806.0,1.0,11.0,-11.0,3.0
20160418,0000,1759,4765.0,4787.0,4824.0,4825.0,1.0,40.0,-40.0,22.0
20160419,0000,1759,4828.0,4824.5,4945.5,4943.0,1.0,4.0,n,n
20160420,0000,1758,4938.0,4938.5,4974.0,4972.5,2.5,7.5,n,n
20160421,0001,1759,4976.5,4971.5,4995.0,4997.0,1.5,2.5,n,n
20160422,0000,1759,4990.0,4989.5,5018.0,5030.5,2.0,5.0,n,n
20160425,0001,1759,5018.0,5008.5,4988.0,4990.0,12.5,0.0,n,n
20160426,0000,1759,4986.0,4988.5,4963.0,4964.0,2.0,2.0,n,n
20160427,0000,1759,4973.5,4975.5,4919.0,4932.0,1.0,10.5,10.5,2.0
20160428,0000,1759,4935.0,4931.0,4934.0,4932.0,13.0,16.0,16.0,-4.0
20160429,0000,1759,4932.0,4932.0,5038.5,5035.5,2.0,2.0,n,n
20160503,0000,1759,5005.0,4996.5,4915.5,4907.5,3.0,33.5,-33.5,-8.5
20160504,0000,1759,4909.5,4905.0,4856.0,4841.0,8.0,6.0,n,n
20160505,0001,1759,4851.5,4855.0,4785.5,4770.5,15.0,4.5,n,n
20160506,0000,1759,4776.5,4777.0,4795.0,4788.0,15.0,9.0,n,n
20160509,0000,1759,4776.0,4771.0,4692.0,4686.5,7.0,19.0,-19.0,-5.0
20160510,0000,1759,4687.5,4678.0,4666.0,4678.0,5.5,4.5,n,n
20160511,0000,1759,4676.0,4697.5,4691.5,4692.5,12.0,10.0,10.0,21.5
20160512,0000,1759,4692.0,4701.5,4624.0,4622.0,1.0,0.5,n,n
20160513,0000,1759,4633.0,4630.0,4624.0,4622.0,2.0,9.0,n,n
20160516,0000,1759,4619.0,4601.5,4648.5,4654.5,2.0,5.0,n,n
20160517,0000,1759,4656.5,4663.5,4643.5,4640.0,6.0,8.0,n,n
20160518,0000,1759,4656.0,4647.5,4628.5,4634.0,3.5,12.5,12.5,-8.5
20160519,0000,1759,4600.0,4592.5,4583.5,4596.0,5.5,28.5,-28.5,-7.5
20160520,0009,1758,4595.5,4603.5,4570.5,4571.0,12.5,12.0,12.0,8.0
20160523,0000,1759,4576.0,4565.5,4568.0,4565.0,0.5,5.5,n,n
20160524,0003,1759,4563.0,4561.0,4588.0,4586.5,3.0,5.0,n,n
20160525,0000,1759,4609.0,4609.5,4661.0,4676.0,1.5,21.0,21.0,0.5
20160526,0000,1759,4664.5,4660.0,4662.0,4662.0,15.0,3.5,n,n
20160527,0000,1759,4662.5,4665.0,4688.0,4687.0,0.0,0.5,n,n
20160531,0000,1759,4665.5,4667.0,4651.5,4654.0,1.0,22.5,-22.5,1.5
20160601,0000,1759,4633.0,4626.5,4611.0,4606.0,2.5,18.5,-18.5,-6.5
20160602,0000,1759,4615.0,4606.5,4598.0,4597.0,5.0,4.0,n,n
20160603,0001,1759,4594.0,4598.0,4679.0,4683.0,1.0,4.0,n,n
20160606,0000,1759,4694.0,4702.0,4687.0,4676.0,4.0,15.0,15.0,8.0
20160607,0000,1759,4691.5,4696.5,4560.0,4558.5,11.0,4.5,n,n
20160608,0001,1759,4568.0,4567.0,4579.5,4580.0,1.5,8.0,n,n
20160609,0000,1759,4605.0,4596.5,4533.0,4538.5,0.5,25.5,25.5,-8.5
20160610,0000,1759,4527.5,4529.5,4511.0,4516.0,5.5,5.5,n,n
20160613,0001,1759,4517.5,4503.0,4560.5,4555.0,5.0,6.5,n,n
20160614,0005,1757,4569.5,4563.0,4531.5,4530.5,5.5,9.0,n,n
20160615,0000,1759,4524.5,4526.5,4638.5,4645.0,1.0,7.0,n,n
20160616,0000,1759,4639.5,4645.0,4543.0,4544.0,6.5,1.0,n,n
20160617,0000,1759,4564.5,4566.0,4541.0,4550.0,1.0,21.5,21.5,1.5
20160620,0000,1759,4576.0,4574.0,4638.0,4636.5,9.0,35.0,35.0,-2.0
20160621,0001,1759,4634.0,4639.0,4678.0,4699.5,1.5,4.0,n,n
20160622,0000,1759,4697.5,4681.5,4713.0,4708.0,21.5,19.5,19.5,-16.0
20160623,0000,1759,4718.5,4717.0,4787.0,4774.5,5.0,5.5,n,n
20160624,0001,1759,4755.5,4772.0,4681.0,4698.0,12.5,31.5,-31.5,16.5
20160627,0000,1759,4680.0,4665.0,4707.0,4705.5,17.0,1.0,n,n
20160628,0000,1800,4718.0,4717.0,n,n,1.5,11.0,11.0,-1.0
20160629,0000,1759,4826.5,4815.5,4832.0,4840.5,n,n,n,n
20160630,0000,1759,4844.5,4832.0,4849.0,4850.5,8.5,12.5,12.5,-12.5
20160701,0000,1758,4858.0,4836.5,4896.0,4905.5,1.5,9.0,n,n
20160704,0000,1758,4918.0,4893.0,4905.0,4885.0,9.5,22.0,22.0,-25.0
20160705,0000,1759,4899.5,4895.0,4827.0,4817.5,20.0,5.5,n,n
20160706,0001,1759,4817.0,4813.0,4756.0,4768.5,9.5,10.0,-10.0,-4.0
20160707,0000,1756,4758.0,4755.5,4696.0,4687.0,12.5,2.0,n,n
20160708,0006,1757,4703.5,4702.5,4687.5,4689.5,9.0,7.5,n,n
20160711,0003,1759,4702.0,4700.0,4745.0,4743.0,2.0,14.5,14.5,-2.0
20160712,0002,1759,4745.0,4755.0,4890.0,4885.5,2.0,0.0,n,n
20160713,0000,1759,4892.5,4880.0,4938.0,4936.0,4.5,2.5,n,n
20160714,0000,1759,4929.0,4934.5,4944.0,4938.5,2.0,9.0,n,n
20160715,0001,1759,4934.0,4934.0,4921.0,4923.0,5.5,10.0,-10.0,0.0
20160718,0000,1759,4916.0,4891.5,4930.0,4935.5,2.0,5.0,n,n
20160719,0000,1800,4943.0,4936.0,n,n,5.5,13.0,13.0,-7.0
20160720,0000,1759,4975.0,4983.5,4970.0,4958.5,n,n,n,n
20160721,0000,1759,4951.5,4955.0,4979.0,4980.0,11.5,18.5,-18.5,3.5
20160722,0355,1759,n,n,4924.0,4922.5,1.0,n,n,n
20160725,0000,1759,4930.0,4930.0,4900.0,4915.5,1.5,6.0,n,n
20160726,0002,1759,4908.0,4895.0,4918.5,4917.0,15.5,8.0,n,n
20160727,0002,1759,4922.0,4918.0,4836.5,4834.0,1.5,3.5,n,n
20160728,0000,1758,4852.5,4854.5,4887.5,4899.0,2.5,16.0,16.0,2.0
20160729,0000,1759,4900.5,4905.0,4907.0,4920.0,11.5,13.0,13.0,4.5
20160801,0000,1759,4913.5,4921.5,4872.0,4872.0,13.0,6.5,n,n
20160802,0000,1759,4859.0,4860.0,4888.0,4886.0,0.0,13.0,-13.0,1.0
20160803,0000,1759,4890.0,4888.0,4875.0,4868.5,2.0,2.0,n,n
20160804,0007,1759,4884.5,4883.0,4833.0,4832.0,6.5,9.5,n,n
20160805,0000,1759,4825.0,4831.0,4795.0,4796.0,1.0,8.0,n,n
20160808,0000,1759,4789.0,4791.0,4808.5,4809.0,1.0,6.0,n,n
20160809,0000,1759,4799.0,4802.5,4776.0,4776.5,0.5,9.5,n,n
20160810,0000,1759,4779.0,4790.5,4810.5,4822.0,0.5,3.0,n,n
20160811,0000,1759,4815.5,4818.0,4853.0,4848.0,11.5,5.0,n,n
20160812,0000,1759,4850.5,4862.5,4753.5,4752.0,5.0,2.5,n,n
20160815,0000,1759,4755.0,4758.0,4772.5,4772.0,1.5,1.5,n,n
20160816,0000,1759,4770.0,4772.0,4814.0,4813.0,0.5,2.5,n,n
20160817,0000,1759,4810.0,4818.5,4773.0,4775.0,1.0,4.0,n,n
20160818,0000,1758,4786.0,4786.5,4805.0,4809.0,2.0,13.0,13.0,0.5
20160819,0000,1759,4807.0,4801.5,4798.0,4808.0,4.0,2.0,n,n
20160822,0005,2031,4809.5,4797.0,n,n,10.0,11.5,11.5,-12.5
20160823,0002,1759,4761.0,4761.5,4706.0,4706.0,n,n,n,n
20160824,0001,1759,4703.5,4710.0,4628.5,4629.0,0.0,2.5,n,n
20160825,0005,1759,4631.5,4640.0,4622.0,4627.0,0.5,3.0,n,n
20160826,0000,1757,4624.5,4633.5,4624.0,4620.5,5.0,2.5,n,n
20160830,0000,1759,4625.5,4627.0,4609.0,4609.0,3.5,1.5,n,n
20160831,0000,1759,4620.0,4620.0,4615.0,4618.0,0.0,11.0,11.0,0.0
20160901,0004,1759,4619.5,4630.0,4616.0,4625.0,3.0,4.5,n,n
20160902,0000,1759,4627.0,4621.5,4620.5,4615.0,9.0,11.0,11.0,-5.5
20160905,0000,1759,4619.5,4625.0,4626.5,4626.5,5.5,1.0,n,n
20160906,0001,1759,4627.0,4632.0,4636.0,4636.0,0.0,0.5,n,n
20160907,0005,1759,4640.5,4642.0,4652.0,4651.0,0.0,4.5,n,n
20160908,0000,1759,4648.5,4654.0,4658.0,4664.5,1.0,3.5,n,n
20160909,0000,1800,4667.5,4666.0,n,n,6.5,9.5,n,n
20160912,0002,1759,4628.5,4630.0,4649.0,4659.0,n,n,n,n
20160913,0000,1759,4658.0,4658.0,4654.5,4662.5,10.0,9.0,n,n
20160914,0000,1759,4653.0,4661.0,4768.0,4772.0,8.0,1.5,n,n
20160915,0004,1759,4765.0,4763.0,4775.0,4780.0,4.0,3.0,n,n
20160916,0000,1759,4782.5,4778.0,4778.5,4777.0,5.0,7.5,n,n
20160919,0002,1759,4769.0,4761.0,4771.0,4767.5,1.5,9.5,n,n
20160920,0000,1759,4761.0,4756.0,4785.0,4781.0,3.5,10.0,-10.0,-5.0
20160921,0000,1759,4786.5,4780.0,4763.0,4767.0,4.0,1.5,n,n
20160922,0000,1759,4779.0,4781.5,4847.0,4845.0,4.0,16.0,16.0,2.5
20160923,0009,1759,4845.0,4839.5,4861.0,4856.0,2.0,2.0,n,n
20160926,0001,1759,4863.5,4861.5,4848.0,4844.5,5.0,2.5,n,n
20160927,0000,1759,4838.5,4831.5,4796.0,4797.0,3.5,9.5,n,n
20160928,0005,1759,4796.5,4791.5,4826.0,4830.0,1.0,0.5,n,n
20160929,0000,1757,4850.5,4848.5,4830.0,4825.0,4.0,24.5,24.5,-2.0
20160930,0000,1759,4831.0,4830.0,4874.0,4877.5,5.0,1.0,n,n
20161003,0000,1759,4865.0,4873.5,4834.0,4833.5,3.5,9.0,n,n
20161004,0000,1759,4838.0,4831.0,4786.5,4790.0,0.5,4.0,n,n
20161005,0000,1759,4789.0,4789.5,4782.0,4797.0,3.5,2.5,n,n
20161006,0002,1759,4789.0,4788.0,4764.0,4760.0,15.0,7.0,n,n
20161007,0001,1759,4757.5,4751.0,4781.0,4790.0,4.0,6.5,n,n
20161010,0000,1759,4794.0,4798.0,4849.0,4844.0,9.0,13.0,13.0,4.0
20161011,0001,1759,4851.0,4848.0,4828.0,4825.0,5.0,2.0,n,n
20161012,0000,1759,4829.5,4834.0,4810.0,4808.0,3.0,1.5,n,n
20161013,0001,1759,4810.0,4808.5,4707.0,4715.0,2.0,0.0,n,n
20161014,0000,1759,4709.5,4712.0,4685.0,4675.5,8.0,2.5,n,n
20161017,0000,1759,4677.5,4680.5,4682.0,4674.0,9.5,7.5,n,n
20161018,0008,1759,4681.0,4684.5,4678.5,4675.0,8.0,1.0,n,n
20161019,0000,1759,4673.5,4680.0,4671.0,4670.5,3.5,5.0,n,n
20161020,0001,1759,4671.0,4675.5,4653.5,4652.0,0.5,0.0,n,n
20161021,0000,1759,4653.0,4652.0,4640.5,4644.0,1.5,0.5,n,n
20161024,0002,1759,4640.0,4644.5,4644.0,4643.5,3.5,0.5,n,n
20161025,0000,1759,4649.0,4649.5,4735.5,4738.0,0.5,5.0,n,n
20161026,0002,1759,4736.0,4734.5,4751.0,4756.5,2.5,0.5,n,n
20161027,0000,1759,4747.5,4744.5,4785.5,4788.0,5.5,3.5,n,n
20161028,0002,1759,4784.5,4781.5,4846.0,4845.5,2.5,1.0,n,n
20161031,0000,1758,4847.5,4829.5,4861.0,4862.0,0.5,1.5,n,n
20161101,0000,1759,4863.0,4864.5,4918.5,4914.0,1.0,2.0,n,n
20161102,0000,1758,4916.5,4889.0,4902.0,4905.5,4.5,2.0,n,n
20161103,0000,1759,4905.5,4904.5,4956.0,4957.5,3.5,3.5,n,n
20161104,0000,1759,4952.0,4936.0,4985.0,4992.0,1.5,4.0,n,n
20161107,0000,1859,4977.5,5007.5,n,n,7.0,7.5,n,n
20170313,0000,1759,5752.0,5760.0,5798.0,5799.0,n,n,n,n
20170314,0000,1759,5794.0,5787.0,5836.0,5835.0,1.0,4.0,n,n
20170315,0000,1759,5824.5,5824.5,5874.5,5888.0,1.0,11.5,-11.5,0.0
20170316,0000,1759,5894.5,5907.0,5907.0,5910.0,13.5,20.0,20.0,12.5
20170317,0000,1759,5901.0,5902.5,5937.5,5940.0,3.0,6.0,n,n
20170320,0000,1759,5917.5,5912.0,5884.0,5865.0,2.5,20.0,-20.0,-5.5
20170321,0000,1759,5864.0,5823.0,5770.0,5771.0,19.0,20.0,-20.0,-41.0
20170322,0000,1759,5765.0,5739.0,5819.0,5837.5,1.0,5.0,n,n
20170323,0000,1759,5834.0,5817.0,5850.0,5853.5,18.5,15.0,15.0,-17.0
20170324,0000,1759,5831.0,5794.0,5812.0,5815.0,3.5,19.0,-19.0,-37.0
20170327,0000,1759,5800.0,5779.0,5808.0,5800.0,3.0,12.0,-12.0,-21.0
20170328,0000,2301,5799.0,5803.0,n,n,8.0,9.0,n,n
20170329,0000,1759,5890.0,5891.5,5902.0,5905.0,n,n,n,n
20170330,0006,1759,5899.5,5901.5,5889.5,5915.0,3.0,2.5,n,n
20170331,0000,1759,5889.5,5900.5,5855.5,5861.0,25.5,0.0,n,n
20170403,0000,1759,5841.0,5844.0,5750.5,5758.0,5.5,14.5,-14.5,3.0
20170404,0001,1759,5758.0,5762.0,5773.0,5783.0,7.5,7.5,n,n
20170405,0000,1759,5786.0,5791.5,5911.0,5924.5,10.0,13.0,13.0,5.5
20170406,0000,1759,5893.0,5892.0,5867.5,5878.0,13.5,18.0,-18.0,-1.0
20170407,0013,1759,5856.5,5857.0,5840.5,5847.5,10.5,11.0,-11.0,0.5
20170410,0000,1759,5828.5,5825.5,5749.0,5755.0,7.0,12.0,-12.0,-3.0
20170411,0002,1758,5747.0,5752.0,5761.5,5768.0,6.0,2.0,n,n
20170412,0008,1759,5760.0,5753.5,5634.5,5624.5,6.5,1.5,n,n
20170413,0000,1759,5625.0,5636.0,5692.0,5682.5,10.0,9.5,n,n
20170418,0000,1759,5733.0,5727.5,5593.5,5605.0,9.5,41.0,41.0,-5.5
20170419,0000,1759,5600.0,5609.0,5608.0,5595.0,11.5,6.5,n,n
20170420,0001,1759,5590.0,5596.0,5635.0,5635.5,13.0,18.0,-18.0,6.0
20170421,0002,1759,5643.0,5634.0,5624.5,5637.5,0.5,8.0,n,n
20170424,0000,1759,5678.0,5659.0,5648.0,5655.0,13.0,53.5,53.5,-19.0
20170425,0000,1759,5653.0,5649.5,5705.5,5714.0,7.0,5.0,n,n
20170426,0001,1759,5702.5,5706.5,5723.0,5734.5,8.5,3.0,n,n
20170427,0001,1759,5720.0,5718.5,5708.5,5715.0,11.5,3.0,n,n
20170428,0000,1759,5714.5,5719.0,5735.5,5735.0,6.5,6.0,n,n
20170502,0000,1759,5800.0,5810.0,5796.5,5806.0,0.5,64.5,64.5,10.0
20170503,0000,1836,5789.0,5783.5,n,n,9.5,7.5,n,n
20170504,0000,1759,5580.0,5585.0,5540.5,5540.5,n,n,n,n
20170505,0000,1759,5545.5,5536.0,5580.5,5585.0,0.0,5.0,n,n
20170508,0000,1759,5609.0,5605.0,5504.0,5497.5,4.5,28.5,28.5,-4.0
20170509,0005,1759,5499.0,5509.5,5510.0,5513.5,6.5,5.0,n,n
20170510,0000,1759,5507.5,5520.5,5505.5,5510.0,3.5,2.5,n,n
20170511,0001,1758,5509.5,5505.0,5535.0,5538.5,4.5,4.0,n,n
20170512,0000,1759,5541.5,5540.0,5569.0,5568.0,3.5,6.5,n,n
20170515,0000,1756,5561.0,5580.0,5601.5,5606.0,1.0,8.0,n,n
20170516,0006,1759,5597.0,5602.0,5619.5,5621.0,4.5,4.5,n,n
20170517,0000,1759,5606.0,5604.5,5616.0,5611.5,1.5,13.5,-13.5,-1.5
20170518,0000,1759,5599.0,5595.5,5585.0,5583.0,4.5,17.0,-17.0,-3.5
20170519,0001,1759,5588.5,5583.5,5687.5,5687.5,2.0,3.5,n,n
20170522,0003,1759,5680.5,5675.5,5718.0,5718.0,0.0,7.0,n,n
20170523,0005,1759,5715.5,5712.0,5717.0,5724.0,0.0,2.5,n,n
20170524,0002,1759,5712.0,5702.0,5694.0,5703.0,7.0,5.0,n,n
20170525,0000,1759,5684.5,5686.5,5724.5,5729.5,9.0,9.5,n,n
20170526,0000,1759,5724.0,5709.0,5661.0,5662.0,5.0,0.5,n,n
20170530,0005,1759,5650.0,5643.0,5654.0,5658.0,1.0,11.0,-11.0,-7.0
20170531,0000,1758,5660.0,5666.5,5689.5,5693.0,4.0,6.0,n,n
20170601,0000,1759,5692.0,5688.5,5704.0,5702.5,3.5,2.5,n,n
20170602,0000,1759,5685.0,5682.0,5679.5,5688.0,1.5,19.0,-19.0,-3.0
20170605,0000,1759,5662.0,5667.0,5642.0,5648.0,8.5,17.5,-17.5,5.0
20170606,0000,1759,5637.0,5638.0,5619.5,5618.0,6.0,5.0,n,n
20170607,0000,1759,5616.0,5622.5,5629.0,5625.0,1.5,3.5,n,n
20170608,0000,1759,5624.0,5620.0,5744.5,5746.5,4.0,5.0,n,n
20170609,0000,1759,5743.5,5735.0,5828.0,5830.0,2.0,1.0,n,n
20170612,0000,1759,5823.0,5822.0,5761.0,5763.5,2.0,5.0,n,n
20170613,0003,1759,5764.5,5768.5,5724.0,5730.0,2.5,3.5,n,n
20170614,0000,1759,5716.0,5714.0,5682.0,5667.0,6.0,8.0,n,n
20170615,0000,1759,5643.5,5661.5,5666.5,5674.0,15.0,38.5,-38.5,18.0
20170616,0000,1759,5668.0,5665.0,5665.5,5673.0,7.5,1.5,n,n
20170619,0000,1759,5673.0,5667.5,5727.0,5726.0,7.5,7.5,n,n
20170620,0000,1759,5728.5,5724.0,5663.0,5668.0,1.0,1.5,n,n
20170621,0000,1759,5660.5,5657.0,5746.0,5725.0,5.0,2.5,n,n
20170622,0001,1759,5741.0,5740.0,5740.5,5741.0,21.0,5.0,n,n
20170623,0000,1759,5742.0,5736.5,5796.0,5800.0,0.5,1.5,n,n
20170626,0000,1759,5775.0,5784.0,5803.0,5801.5,4.0,21.0,-21.0,9.0
20170627,0002,1759,5798.0,5791.0,5851.5,5846.5,1.5,5.0,n,n
20170628,0000,1759,5848.5,5849.5,5882.0,5879.0,5.0,3.0,n,n
20170629,0002,1759,5882.0,5883.5,5926.0,5925.0,3.0,0.0,n,n
20170630,0000,1759,5923.0,5920.5,5952.5,5959.0,1.0,3.0,n,n
